FID,Northing,Easting,Latitude,Longitude,Elevation,GCP,Location,Bound,KM_Marker,GCP_Name,Remark,Section
71,337881.391284188,396872.859738722,3.05273472086,101.568348224,14.2135,GP39,KL/SELANGOR,Toll Plaza,5.5,GCP 72,Seafield Toll Plaza,C6
72,335093.703033734,397720.517587306,3.02754432534,101.57603559,27.5455,SEA03,DL2- OBR USJ,OBR SB,8.5,GCP 73,OBR USJ SB,C6
73,334923.847216871,397794.902340495,3.02600996356,101.576708492,18.6562,SEA02,DL2- OBR USJ,OBR SB,8.5,GCP 74,OBR USJ SB,C6
74,334876.359547237,397777.275540258,3.02558013183,101.576551006,23.251,SEA01,DL2- OBR USJ,OBR SB,8.5,GCP 75,OBR USJ SB,C6
75,330648.887087801,397758.485653226,2.98735028045,101.576476013,12.0016,GP38,KL/SELANGOR,Toll Plaza SB,13,GCP 76,Putra Heights Toll Plaza,C6
76,321775.994658487,401496.858295055,2.90719479054,101.610295451,15.8519,DN02,DL1- Dengkil NB,RSA NB,23,GCP 77,RSA Dengkil NB,C6
77,321649.754111286,401555.136688042,2.90605446475,101.61082242,15.1886,DN01,DL1- Dengkil NB,RSA NB,23,GCP 78,RSA Dengkil NB,C6
78,321699.809017533,401638.099444837,2.90650891727,101.611567545,16.0403,GP37,KL/SELANGOR,RSA NB,23.1,GCP 79,RSA Dengkil NB,C6
79,321648.40489969,401940.370762397,2.90605064021,101.614287294,16.1397,DS02,DL1- Dengkil SB,RSA SB,23.2,GCP 80,RSA Dengkil SB,C6
80,321528.495089595,401988.591787343,2.90496734058,101.614723642,15.8852,DS01,DL1- Dengkil SB,RSA SB,23.3,GCP 81,RSA Dengkil SB,C6
81,321378.461324789,402113.957244772,2.90361330517,101.615854361,15.2784,DS03,DL1- Dengkil SB,RSA SB,23.5,GCP 82,RSA Dengkil SB,C6
82,320998.377022321,402144.365583122,2.90017685723,101.616136144,9.6116,PLUS TBM23,KL/SELANGOR,RSA SB,24,GCP 83,RSA Dengkil SB,C6
83,313590.753961373,407002.882677016,2.83329357406,101.659990591,7.4387,GP36,KL/SELANGOR,Toll Plaza SB,0,GCP 84,KLIA Toll Plaza,C6
