FID,Northing,Easting,Latitude,Longitude,Elevation,GCP,Location,Bound,KM_Marker,GCP_Name,Remark,Section
124,179022.370727716,628863.660824411,2,104,27,TBM14,JOHOR,IC,35,GCP 125,Senai/Desaru Interchange,S6
125,177808.005968144,628508.545691445,2,104,25,G102,JOHOR,IC,34,GCP 126, ,S6
126,177566.61221184,625639.521191795,2,104,34,TBM13,JOHOR,IC,31,GCP 127,Indahpura Interchange,S6
127,174901.204164993,627945.334584928,2,104,30,GP03,JOHOR,Toll Plaza,15,GCP 128,Skudai Toll Plaza,S4
128,171766.276356921,634043.317627346,2,104,23,GP02,JOHOR,Toll Plaza,8,GCP 129,Kempas Toll Plaza,S5
129,168421.473352691,640693.787381688,2,104,7,GP01,JOHOR,NB,0,GCP 130,Pandan Interchange,S5
130,176804.624398836,624219.071802723,2,104,35,G101,JOHOR,Toll Plaza,19,GCP 131,Senai North Toll Plaza,S4
131,174395.605547691,623004.458051247,2,104,40,GP04,JOHOR,EB,27,GCP 132,Pulai Jaya Interchange,S6
132,163385.254417082,627133.443474058,1,104,34,TBM12,JOHOR,WB,19,GCP 133,Medical Park Interchange,S6
133,160681.377107912,624358.698631633,1,104,31,G100,JOHOR,SB,13,GCP 134,Iskandar Puteri Interchange,S6
134,154698.69986102,621033.143430218,1,104,21,GPH03,DL2- Gelang Patah RSA NB,RSA NB,6,GCP 135,RSA Gelang Patah NB,S6
135,153433.372232282,621854.488221931,1,104,25,GP99,JOHOR,RSA SB,4,GCP 136,RSA Gelang Patah SB,S6
